id,title,url,created_at
1,"Những lồng chim đẹp ở Hà Nội",https://mytour.vn/vi/blog/bai-viet/nhung-long-chim-dep-o-ha-noi-top-11-dia-chi-thu-vi.html,"2025-06-30 07:29:03"
2,"Độc nhất vô nhị: Đàn chim 10 tỷ của đại gia Hà Nội",https://vietnamnet.vn/doc-nhat-vo-nhi-dan-chim-10-ty-cua-dai-gia-ha-noi-443622.html,"2025-06-30 07:29:03"
3,"Chú chim chào mào đột biến gen 300 triệu của đại gia Hà Nội",https://vietnamnet.vn/chu-chim-chao-mao-dot-bien-gen-300-trieu-cua-dai-gia-ha-noi-397602.html#inner-article,"2025-06-30 07:29:03"
4,"Chiếc lồng chim giá tỷ đồng: Ngả mũ thú chơi độc của đại gia",https://vietnamnet.vn/chiec-long-chim-gia-ty-dong-nga-mu-thu-choi-doc-cua-dai-gia-372390.html#inner-article,"2025-06-30 07:29:03"
11,"3 chim già đẫy quý hiếm vừa nở trong công viên Đầm Sen",https://video.vnexpress.net/tin-tuc/nhip-song/3-chim-gia-day-quy-hiem-vua-no-trong-cong-vien-dam-sen-3904402.html?_gl=1*1jcz123*_gcl_au*MzU2MTEyNjAyLjE3NDk3MDc2NTI.#vn_source=Tag&vn_campaign=Stream&vn_medium=Item-46&vn_term=Desktop&vn_thumb=1&vn_aid=162489,"2025-07-03 14:03:00"
13,"Chim chóc ở thành thị ngày càng hung dữ vì tiếng ồn?",https://tuoitre.vn/chim-choc-o-thanh-thi-ngay-cang-hung-du-vi-tieng-on-20250606121456208.htm,"2025-07-03 16:04:00"
14,"Tram Chim national park",https://e.vnexpress.net/photo/places/birds-flowers-revel-in-spring-at-tram-chim-national-park-4236753.html,"2025-07-06 12:06:30"
19,"Độc đáo vườn chim nhân tạo ở bờ sông Đông",https://www.sggp.org.vn/doc-dao-vuon-chim-nhan-tao-o-bo-song-dong-post803877.html,"2025-07-16 04:10:45"
20,"Cấp bách bảo vệ nhiều loài chim đang bị đe dọa rất nghiêm trọng",https://www.vietnamplus.vn/cap-bach-bao-ve-nhieu-loai-chim-dang-bi-de-doa-rat-nghiem-trong-post1003218.vnp,"2025-07-17 08:31:00"
21,"Hồi sinh loài chim quý hiếm",https://vietnamnet.vn/nong-dan-bac-ninh-hoi-sinh-loai-chim-quy-hiem-tro-thanh-ty-phu-2422131.html,"2025-07-19 09:36:10"
